category,name,frames,harm60,harm80,span_st,crest,zero_crossings
Analog,TERRA BROWNOUT,128,424,774,24.54,2.7,2.5
Analog,TERRA DIVIDER,128,434,556,16.26,2.98,82.3
Analog,TERRA JUNO CHORUS,128,216,412,32.01,2.37,23.5
Analog,TERRA LADDER,128,186,302,43.23,2.68,40.2
Analog,TERRA PWM DUO,128,237,386,26.97,2.28,16.1
Analog,TERRA SUPERSAW,128,297,415,56.75,2.29,26.3
Analog,TERRA SYNC LEAD,128,801,849,32.73,2.09,8.6
Analog,TERRA TAPE WOW,128,195,249,42.84,2.68,25.0
Analog,TERRA TRI CORE,128,185,347,25.45,2.36,1.9
Analog,TERRA VARISHAPE,128,575,734,25.79,1.82,1.4
Analog,TERRA VCO DRIFT,128,391,614,20.14,2.54,39.8
Analog,TERRA VCO SICK,128,783,1007,56.52,2.32,114.3
Basic Shapes,TERRA COUNT,128,21,21,65.15,2.47,23.0
Basic Shapes,TERRA DRAWBAR,128,16,99,37.77,2.48,10.0
Basic Shapes,TERRA PULSE SWEEP,128,684,986,40.77,2.63,53.0
Basic Shapes,TERRA RECTIFY,128,19,59,13.17,1.74,2.6
Basic Shapes,TERRA SAW STEPS,128,288,306,37.8,2.48,37.6
Basic Shapes,TERRA SINE BLOOM,128,195,622,25.98,1.74,12.3
Basic Shapes,TERRA STAIRS,128,252,603,19.13,1.4,3.4
Basic Shapes,TERRA TILT,128,208,323,83.46,2.02,34.8
Basic Shapes,TERRA TRI STEEL,128,86,241,20.13,1.71,6.3
Basic Shapes,TERRA UPSHIFT,128,361,561,16.72,3.29,35.5
Chaos,TERRA BIFURCATE,128,431,579,86.65,3.07,978.4
Chaos,TERRA BITFLIP,128,255,1023,71.49,2.3,56.9
Chaos,TERRA CHIRIKOV,128,448,701,102.19,3.01,572.5
Chaos,TERRA DEVIL,128,516,579,60.86,2.83,261.8
Chaos,TERRA DIFFUSE,128,464,904,70.15,6.45,363.4
Chaos,TERRA GRAYCODE,128,395,785,65.52,2.39,136.9
Chaos,TERRA HENON,128,786,1022,55.71,2.87,102.0
Chaos,TERRA PIDIGITS,128,860,1022,66.11,3.06,140.6
Chaos,TERRA PRIMEGAP,128,484,887,94.03,2.73,176.1
Chaos,TERRA RULE30,128,550,552,67.77,3.42,316.9
Chaos,TERRA SHATTER,128,950,1023,57.39,3.28,236.7
Chaos,TERRA SIERPINSKI,128,351,398,92.13,2.42,131.4
Chaos,TERRA TENT,128,474,612,90.23,5.94,14.4
Chaos,TERRA XORFOLD,128,193,230,79.52,2.5,139.6
Cinematic,TERRA ASH FALL,128,536,602,94.57,2.95,219.7
Cinematic,TERRA BREATH,128,733,882,36.74,3.47,724.5
Cinematic,TERRA CATHEDRAL,128,417,683,40.01,2.81,46.5
Cinematic,TERRA CHORAL DAWN,128,211,412,52.14,3.23,33.4
Cinematic,TERRA EMBER,128,514,610,91.73,3.09,209.6
Cinematic,TERRA GLASS EDGE,128,347,675,51.94,2.84,123.8
Cinematic,TERRA HORIZON,128,592,701,83.0,3.16,274.3
Cinematic,TERRA NEBULA,128,689,924,36.8,3.46,103.4
Cinematic,TERRA SHIMMER LADDER,128,157,158,42.12,3.06,68.5
Cinematic,TERRA TIDE,128,234,282,75.57,2.47,65.0
Digital,TERRA BIT LADDER,128,472,718,86.81,1.57,145.2
Digital,TERRA BRANCH Y,128,153,159,82.15,1.86,236.8
Digital,TERRA CHEBY STACK,128,157,171,74.97,3.02,146.7
Digital,TERRA CZ RESO,128,849,1023,61.22,3.13,104.8
Digital,TERRA DOUBLE FB,128,471,575,81.61,1.65,97.0
Digital,TERRA FEEDBACK SAW,128,389,474,68.44,1.51,40.3
Digital,TERRA OVERLOAD,128,574,629,104.28,1.64,208.4
Digital,TERRA PD PULSE,128,282,402,90.42,9.69,2.4
Digital,TERRA PRIME COMB,128,457,488,89.04,1.41,482.2
Digital,TERRA SINE BOMB,128,148,152,91.29,1.42,170.1
Digital,TERRA STACK THREE,128,305,355,89.96,1.41,153.4
Digital,TERRA THIRTEEN,128,350,381,102.87,1.42,331.6
Digital,TERRA WARP FOLD,128,464,648,61.63,1.7,25.0
Digital,TERRA XOR DUST,128,845,1015,56.28,2.43,62.2
Harmonic,TERRA BLADE CULL,128,149,156,73.19,2.46,47.8
Harmonic,TERRA BLADE RISE,128,122,133,95.24,2.37,75.0
Harmonic,TERRA BLADE SPLAY,128,150,151,37.21,2.96,142.2
Harmonic,TERRA BRONZE RISE,128,59,62,111.94,2.94,658.6
Harmonic,TERRA BRONZE TIDE,128,95,99,95.35,3.26,752.5
Harmonic,TERRA CHANT RISE,128,135,137,91.7,2.78,118.9
Harmonic,TERRA CHANT TERRACE,128,238,238,47.86,3.13,110.1
Harmonic,TERRA HORNET CULL,128,32,32,69.97,2.68,50.7
Harmonic,TERRA HORNET RISE,128,89,90,105.29,2.63,141.0
Harmonic,TERRA NEON RISE,128,136,149,65.88,2.4,23.7
Metallic,TERRA BELL ARRAY,128,194,280,49.34,2.6,37.3
Metallic,TERRA CLUSTER FORGE,128,387,393,45.37,3.0,167.7
Metallic,TERRA GOLDEN CLANG,128,165,165,60.61,3.07,96.5
Metallic,TERRA GONG WASH,128,459,572,60.91,3.11,121.1
Metallic,TERRA HAMMER MILL,128,458,539,76.0,3.18,309.8
Metallic,TERRA IRON LUNG,128,729,825,24.85,3.14,235.9
Metallic,TERRA PIPE RESONANT,128,721,945,52.87,2.96,117.3
Metallic,TERRA RINGMOD ANVIL,128,298,318,33.08,3.3,94.3
