freesound_id,url,name,uploader,pack,licence_url,uploaded,description,checked
358377,https://freesound.org/people/MTG/sounds/358377/,Sax Alto - C#3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::C# octave::3 midi note::37 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4641",2026-09-24
358378,https://freesound.org/people/MTG/sounds/358378/,Sax Alto - D3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D octave::3 midi note::38 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4642",2026-09-24
358379,https://freesound.org/people/MTG/sounds/358379/,Sax Alto - D#3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D# octave::3 midi note::39 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4643",2026-09-24
358380,https://freesound.org/people/MTG/sounds/358380/,Sax Alto - E3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::E octave::3 midi note::40 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4644",2026-09-24
358381,https://freesound.org/people/MTG/sounds/358381/,Sax Alto - F3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F octave::3 midi note::41 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4645",2026-09-24
358382,https://freesound.org/people/MTG/sounds/358382/,Sax Alto - F#3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F# octave::3 midi note::42 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4646",2026-09-24
358383,https://freesound.org/people/MTG/sounds/358383/,Sax Alto - G3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::G octave::3 midi note::43 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4647",2026-09-24
358384,https://freesound.org/people/MTG/sounds/358384/,Sax Alto - G#3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::G# octave::3 midi note::44 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4648",2026-09-24
358385,https://freesound.org/people/MTG/sounds/358385/,Sax Alto - A3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::A octave::3 midi note::45 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4649",2026-09-24
358386,https://freesound.org/people/MTG/sounds/358386/,Sax Alto - A#3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::A# octave::3 midi note::46 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4650",2026-09-24
