source_file,freesound_id,freesound_url,freesound_name,uploader,recordist,source_licence,source_licence_url,pack,good_sounds_id,waveform_match_r,runner_up_r,checked
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_01.flac,358377,https://freesound.org/people/MTG/sounds/358377/,Sax Alto - C#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4641,0.9898,0.1404,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_02.flac,358378,https://freesound.org/people/MTG/sounds/358378/,Sax Alto - D3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4642,0.9989,0.2609,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_03.flac,358379,https://freesound.org/people/MTG/sounds/358379/,Sax Alto - D#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4643,0.9987,0.2416,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_04.flac,358380,https://freesound.org/people/MTG/sounds/358380/,Sax Alto - E3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4644,0.9968,0.1184,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_05.flac,358381,https://freesound.org/people/MTG/sounds/358381/,Sax Alto - F3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4645,0.9787,0.1579,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_06.flac,358382,https://freesound.org/people/MTG/sounds/358382/,Sax Alto - F#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4646,0.9994,0.1285,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_07.flac,358383,https://freesound.org/people/MTG/sounds/358383/,Sax Alto - G3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4647,0.9988,0.1486,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_08.flac,358384,https://freesound.org/people/MTG/sounds/358384/,Sax Alto - G#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4648,0.9961,0.1092,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_09.flac,358385,https://freesound.org/people/MTG/sounds/358385/,Sax Alto - A3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4649,0.9988,0.4294,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_10.flac,358386,https://freesound.org/people/MTG/sounds/358386/,Sax Alto - A#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4650,0.9988,0.1375,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_11.flac,358387,https://freesound.org/people/MTG/sounds/358387/,Sax Alto - B3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4651,0.9974,0.1793,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_12.flac,358388,https://freesound.org/people/MTG/sounds/358388/,Sax Alto - C4,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4652,1.0,0.1269,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/alt_f_13.flac,358389,https://freesound.org/people/MTG/sounds/358389/,Sax Alto - C#4,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20239/,4653,0.9988,0.2613,2026-09-24
